title,genre,platform
Medal of Honor: Allied Assault,action shooter shooter firstperson historic historic arcade,PC
Myth: The Fallen Lords,strategy realtime fantasy general fantasy,PC
LittleBigPlanet 2,action platformer platformer 3d 2d 3d,PlayStation 3
Guitar Hero,miscellaneous rhythm music,PlayStation 2
World of Warcraft: Wrath of the Lich King,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
Rock Band 3,action miscellaneous rhythm music music,Wii
Metroid Prime Trilogy,action miscellaneous shooter compilation compilation firstperson scifi,Wii
Overwatch,general action shooter firstperson tactical,PC
F1 Challenge '99-'02,driving racing formula one formula one,PC
Tony Hawk's Pro Skater 4,sports alternative skateboarding,GameCube
Madden NFL 2001,sports traditional football sim,PlayStation 2
Baldur's Gate,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Bayonetta 2,action adventure fantasy fantasy linear,WiiU
The Witcher 3: Wild Hunt,action rpg roleplaying action rpg,XboxOne
Rock Band 3,action miscellaneous rhythm music music,PlayStation 3
Klonoa 2: Lunatea's Veil,action platformer 3d,PlayStation 2
IL-2 Sturmovik,simulation flight wwii wwii combat,PC
Mario Tennis,sports traditional tennis,Nintendo 64
FreeSpace 2,simulation scifi space small spaceship small spaceship combat,PC
Colony Wars,simulation scifi small spaceship,PlayStation
Metal Gear Solid V: The Phantom Pain,action adventure modern openworld,PC
Ratchet & Clank: Up Your Arsenal,action platformer 3d,PlayStation 2
Resident Evil,action adventure horror,GameCube
FIFA Soccer 10,sports traditional team soccer sim sim,PlayStation 3
Assassin's Creed II,action adventure historic historic openworld,PlayStation 3
Metal Gear Solid 3: Snake Eater,action adventure modern,PlayStation 2
Twisted Metal: Black,driving car combat,PlayStation 2
Spyro: Year of the Dragon,action platformer 3d,PlayStation
Tomb Raider,action adventure modern,PlayStation
Overwatch,action shooter firstperson tactical,XboxOne
Resident Evil 4: Wii Edition,action adventure horror horror survival,Wii
Shadow of the Colossus,action adventure fantasy,PlayStation 2
Forza Horizon 3,racing simulation automobile,XboxOne
Peggle,miscellaneous puzzle action puzzle puzzle action,PlayStation 3
The Legend of Zelda: Ocarina of Time / Master Quest,action adventure fantasy,GameCube
Borderlands 2,action shooter shooter firstperson scifi scifi arcade,PlayStation 3
Tom Clancy's Splinter Cell,action adventure modern general modern,PC
Kentucky Route Zero - Act III,adventure general,PC
NCAA Football 2003,sports traditional football sim,PlayStation 2
Crysis,action shooter shooter firstperson scifi scifi arcade,PC
Ninja Gaiden,action adventure fantasy,Xbox
God of War: Chains of Olympus,action adventure fantasy fantasy linear,PSP
DOA2: Hardcore,action fighting 3d,PlayStation 2
World of Warcraft: The Burning Crusade,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
MLB 10: The Show,sports traditional team baseball sim sim,PlayStation 3
Shadow of the Colossus,action adventure general,PlayStation 4
Yoshi's Island: Super Mario Advance 3,action platformer 2d,GameBoyAdvance
